name,issn,sci_zone,category,year
IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,Q1,Computer Science,2024
Nature,0028-0836,Q1,Multidisciplinary Sciences,2024
Science,0036-8075,Q1,Multidisciplinary Sciences,2024
Journal of Machine Learning Research,1532-4435,Q1,Computer Science,2024
ACM Computing Surveys,0360-0300,Q1,Computer Science,2024
IEEE Transactions on Neural Networks and Learning Systems,2162-237X,Q1,Computer Science,2024
IEEE Transactions on Image Processing,1057-7149,Q1,Computer Science,2024
International Journal of Computer Vision,0920-5691,Q1,Computer Science,2024
Computer Vision and Image Understanding,1077-3142,Q1,Computer Science,2024
IEEE Transactions on Circuits and Systems for Video Technology,1051-8215,Q1,Computer Science,2024
Artificial Intelligence,0004-3702,Q1,Computer Science,2024
IEEE Transactions on Knowledge and Data Engineering,1041-4347,Q1,Computer Science,2024
IEEE Transactions on Information Forensics and Security,1556-6013,Q1,Computer Science,2024
IEEE Transactions on Signal Processing,1053-587X,Q1,Engineering,2024
IEEE Journal of Selected Topics in Signal Processing,1932-4553,Q1,Engineering,2024
Information Sciences,0020-0255,Q1,Computer Science,2024
Expert Systems with Applications,0957-4174,Q1,Computer Science,2024
Neural Networks,0893-6080,Q1,Computer Science,2024
Neurocomputing,0925-2312,Q2,Computer Science,2024
Pattern Recognition,0031-3203,Q1,Computer Science,2024
Pattern Recognition Letters,0167-8655,Q2,Computer Science,2024
Signal Processing,0165-1684,Q2,Engineering,2024
Signal Processing: Image Communication,0923-5965,Q2,Engineering,2024
Multimedia Tools and Applications,1380-7501,Q3,Computer Science,2024
Multimedia Systems,0942-4962,Q3,Computer Science,2024
IEEE Access,2169-3536,Q3,Computer Science,2024
Sensors,1424-8220,Q2,Engineering,2024
Applied Sciences,2076-3417,Q3,Engineering,2024
IEEE Robotics and Automation Letters,2377-3766,Q2,Engineering,2024
IEEE Transactions on Robotics,1552-3098,Q1,Engineering,2024
Robotics and Autonomous Systems,0921-8890,Q2,Engineering,2024
Autonomous Robots,0929-5593,Q2,Computer Science,2024
ACM Transactions on Graphics,0730-0301,Q1,Computer Science,2024
Computer Graphics Forum,0167-7055,Q2,Computer Science,2024
Visual Computer,0178-2789,Q3,Computer Science,2024
IEEE Transactions on Visualization and Computer Graphics,1077-2626,Q1,Computer Science,2024
Computational Visual Media,2096-0433,Q2,Computer Science,2024
IEEE Transactions on Multimedia,1520-9210,Q1,Computer Science,2024
ACM Transactions on Multimedia Computing Communications and Applications,1551-6857,Q2,Computer Science,2024
Neural Computing and Applications,0941-0643,Q2,Computer Science,2024
Engineering Applications of Artificial Intelligence,0952-1976,Q1,Computer Science,2024
Knowledge-Based Systems,0950-7051,Q1,Computer Science,2024
Data Mining and Knowledge Discovery,1384-5810,Q2,Computer Science,2024
Machine Learning,0885-6125,Q2,Computer Science,2024
IEEE Transactions on Systems Man and Cybernetics: Systems,2168-2216,Q1,Computer Science,2024
IEEE Transactions on Cybernetics,2168-2267,Q1,Computer Science,2024
Swarm and Evolutionary Computation,2210-6502,Q1,Computer Science,2024
Applied Soft Computing,1568-4946,Q1,Computer Science,2024
Soft Computing,1432-7643,Q3,Computer Science,2024
Journal of the Franklin Institute,0016-0032,Q2,Engineering,2024
Information Fusion,1566-2535,Q1,Computer Science,2024
Complex and Intelligent Systems,2199-4536,Q1,Computer Science,2024
Advanced Engineering Informatics,1474-0346,Q1,Engineering,2024
Journal of Intelligent and Robotic Systems,0921-0296,Q2,Engineering,2024
Robotics and Computer-Integrated Manufacturing,0736-5845,Q1,Engineering,2024
Journal of Intelligent Manufacturing,0956-5515,Q1,Engineering,2024
International Journal of Machine Learning and Cybernetics,1868-8071,Q2,Computer Science,2024
Journal of Visual Communication and Image Representation,1047-3203,Q2,Computer Science,2024
Journal of Ambient Intelligence and Humanized Computing,1868-5137,Q1,Computer Science,2024
Reliability Engineering and System Safety,0951-8320,Q1,Engineering,2024
Computers in Biology and Medicine,0010-4825,Q1,Computer Science,2024
Computers in Human Behavior,0747-5632,Q1,Psychology,2024
NeuroImage,1053-8119,Q1,Neuroscience,2024
IEEE Transactions on Automation Science and Engineering,1545-5955,Q1,Engineering,2024
IEEE Transactions on Intelligent Transportation Systems,1524-9050,Q1,Engineering,2024
Transportation Science,0041-1655,Q1,Operations Research,2024
Electronic Commerce Research and Applications,1567-4223,Q2,Business,2024
Human Factors,0018-7208,Q1,Psychology,2024
Computing,0010-485X,Q2,Computer Science,2024
Image and Vision Computing,0262-8856,Q2,Computer Science,2024
Computer Communications,0140-3664,Q2,Computer Science,2024
Journal of Network and Computer Applications,1084-8045,Q1,Computer Science,2024
Future Generation Computer Systems,0167-739X,Q1,Computer Science,2024
IEEE Internet of Things Journal,2327-4662,Q1,Computer Science,2024
ACM Transactions on the Web,1559-1131,Q1,Computer Science,2024
World Wide Web,1386-145X,Q2,Computer Science,2024
Pervasive and Mobile Computing,1574-1192,Q1,Computer Science,2024
